dist,Angle,Serving_SSB_Idx,weight
g7,-60,23,1.0
g7,-60,23,1.0
g7,-60,23,1.0
g7,-60,23,1.0
g7,-60,23,1.0
g7,-60,23,1.0
g7,-60,23,1.0
g7,-60,23,1.0
g7,-60,23,1.0
g7,-60,23,1.0
g7,-60,23,1.0
g7,-60,23,1.0
g7,-60,23,1.0
g7,-60,23,1.0
g7,-60,23,1.0
g7,-60,23,1.0
g7,-60,23,1.0
g7,-60,23,1.0
g7,-60,23,1.0
g7,-60,23,1.0
g7,-60,23,1.0
g7,-60,23,1.0
g7,-60,23,1.0
g7,-60,23,1.0
g7,-60,23,1.0
g7,-60,23,1.0
g7,-60,23,1.0
g7,-60,23,1.0
g7,-60,23,1.0
g7,-60,23,1.0
g7,-60,23,1.0
g7,-60,23,1.0
g7,-60,23,1.0
g7,-60,23,1.0
g7,-60,23,1.0
g7,-60,23,1.0
g7,-60,23,1.0
g7,-60,23,1.0
g7,-60,23,1.0
g7,-60,23,1.0
g7,-60,23,1.0
g7,-60,23,1.0
g7,-60,23,1.0
g7,-60,23,1.0
g7,-60,23,1.0
g7,-60,23,1.0
g7,-60,23,1.0
g7,-60,23,1.0
g7,-60,23,1.0
g7,-60,23,1.0
g7,-60,23,1.0
g7,-60,23,1.0
g7,-60,23,1.0
g7,-60,23,1.0
g7,-60,23,1.0
g7,-60,23,1.0
g7,-60,23,1.0
g7,-60,23,1.0
g7,-60,23,1.0
g7,-60,23,1.0
g7,-60,23,1.0
g7,-60,26,1.0
g7,-60,26,1.0
g7,-60,26,1.0
g7,-60,26,1.0
g7,-60,26,1.0
g7,-60,26,1.0
g7,-60,26,1.0
g7,-60,26,1.0
g7,-60,26,1.0
g7,-60,26,1.0
g7,-60,26,1.0
g7,-60,26,1.0
g7,-60,26,1.0
g7,-60,26,1.0
g7,-60,26,1.0
g7,-60,26,1.0
g7,-60,26,1.0
g7,-60,26,1.0
g7,-60,26,1.0
g7,-60,26,1.0
g7,-60,26,1.0
g7,-60,26,1.0
g7,-60,26,1.0
g7,-60,26,1.0
g7,-60,26,1.0
g7,-60,26,1.0
g7,-60,26,1.0
g7,-60,26,1.0
g7,-60,26,1.0
g7,-60,26,1.0
g7,-60,26,1.0
g7,-60,26,1.0
g7,-60,26,1.0
g7,-60,26,1.0
g7,-60,26,1.0
g7,-60,26,1.0
g7,-60,26,1.0
g7,-60,26,1.0
g7,-60,26,1.0
g7,-60,26,1.0
g7,-60,26,1.0
g7,-60,26,1.0
g7,-60,26,1.0
g7,-60,26,1.0
g7,-60,26,1.0
g7,-60,26,1.0
g7,-60,26,1.0
g7,-60,26,1.0
g7,-60,26,1.0
g7,-60,26,1.0
g7,-60,26,1.0
g7,-60,26,1.0
g7,-60,26,1.0
g7,-60,26,1.0
g7,-60,26,1.0
g7,-60,26,1.0
g7,-60,26,1.0
g7,-60,26,1.0
g7,-60,26,1.0
g7,-60,26,1.0
g7,-60,26,1.0
g7,-60,26,1.0
g7,-60,26,1.0
g7,-60,26,1.0
g7,-60,26,1.0
g7,-60,26,1.0
g7,-60,26,1.0
g7,-60,26,1.0
g7,-60,26,1.0
g7,-60,26,1.0
g7,-60,26,1.0
g7,-60,26,1.0
g7,-60,26,1.0
g7,-60,26,1.0
g7,-60,26,1.0
g7,-60,26,1.0
g7,-60,26,1.0
g7,-60,26,1.0
g7,-60,26,1.0
g7,-60,26,1.0
g7,-60,26,1.0
g7,-60,26,1.0
g7,-60,26,1.0
g7,-60,26,1.0
g7,-60,26,1.0
g7,-60,26,1.0
g7,-60,26,1.0
g7,-60,26,1.0
g7,-60,26,1.0
g7,-60,26,1.0
g7,-60,26,1.0
g7,-60,26,1.0
g7,-60,26,1.0
g7,-60,26,1.0
g7,-60,26,1.0
g7,-60,26,1.0
g7,-60,26,1.0
g7,-60,26,1.0
g7,-60,26,1.0
g7,-60,26,1.0
g7,-60,26,1.0
g7,-60,26,1.0
g7,-60,26,1.0
g7,-60,26,1.0
g7,-60,26,1.0
g7,-60,26,1.0
g7,-60,26,1.0
g7,-60,26,1.0
g7,-60,26,1.0
g7,-60,26,1.0
g7,-60,26,1.0
g7,-60,26,1.0
g7,-60,26,1.0
g7,-60,26,1.0
g7,-60,26,1.0
g7,-60,26,1.0
g7,-60,26,1.0
g7,-60,26,1.0
g7,-60,26,1.0
g7,-60,26,1.0
g7,-60,26,1.0
g7,-60,26,1.0
g7,-60,26,1.0
g7,-60,26,1.0
g7,-60,26,1.0
g7,-60,26,1.0
g7,-60,26,1.0
g7,-60,26,1.0
g7,-60,26,1.0
g7,-60,26,1.0
g7,-60,26,1.0
g7,-60,26,1.0
g7,-60,26,1.0
g7,-60,26,1.0
g7,-60,26,1.0
g7,-60,26,1.0
g7,-60,26,1.0
g7,-60,26,1.0
g7,-60,26,1.0
g7,-60,26,1.0
g7,-60,26,1.0
g7,-60,30,1.0
g7,-60,30,1.0
g7,-60,30,1.0
g7,-60,30,1.0
g7,-60,30,1.0
g7,-60,30,1.0
g7,-60,30,1.0
g7,-60,30,1.0
g7,-60,30,1.0
g7,-60,30,1.0
g7,-60,30,1.0
g7,-60,30,1.0
g7,-60,30,1.0
g7,-60,30,1.0
g7,-60,30,1.0
g7,-60,30,1.0
g7,-60,30,1.0
g7,-60,30,1.0
g7,-60,30,1.0
g7,-60,30,1.0
g7,-60,30,1.0
g7,-60,30,1.0
g7,-60,30,1.0
g7,-60,30,1.0
g7,-60,30,1.0
g7,-60,30,1.0
g7,-60,30,1.0
g7,-60,30,1.0
g7,-60,30,1.0
g7,-60,30,1.0
g7,-60,30,1.0
g7,-60,30,1.0
g7,-60,30,1.0
g7,-60,30,1.0
g7,-60,30,1.0
g7,-60,30,1.0
g7,-60,30,1.0
g7,-60,30,1.0
g7,-60,30,1.0
g7,-60,30,1.0
g7,-60,30,1.0
g7,-60,30,1.0
g7,-60,30,1.0
g7,-60,30,1.0
g7,-60,30,1.0
g7,-60,30,1.0
g7,-60,30,1.0
g7,-60,30,1.0
g7,-60,30,1.0
g7,-60,30,1.0
g7,-60,30,1.0
g7,-60,30,1.0
g7,-60,30,1.0
g7,-60,30,1.0
g7,-60,32,1.0
g7,-60,32,1.0
g7,-60,32,1.0
g7,-60,32,1.0
g7,-60,32,1.0
g7,-60,32,1.0
g7,-60,36,1.0
g7,-60,36,1.0
g7,-60,36,1.0
g7,-60,36,1.0
g7,-60,36,1.0
g7,-60,36,1.0
g7,-60,36,1.0
g7,-60,36,1.0
g7,-60,36,1.0
g7,-60,36,1.0
g7,-60,36,1.0
g7,-60,36,1.0
g7,-60,36,1.0
g7,-60,36,1.0
g7,-60,36,1.0
g7,-60,36,1.0
g7,-60,36,1.0
g7,-60,36,1.0
g7,-60,36,1.0
g7,-60,36,1.0
g7,-60,36,1.0
g7,-60,36,1.0
g7,-60,36,1.0
g7,-60,36,1.0
g7,-60,36,1.0
g7,-60,36,1.0
g7,-60,36,1.0
g7,-60,36,1.0
g7,-60,36,1.0
g7,-60,36,1.0
g7,-60,36,1.0
g7,-60,36,1.0
g7,-60,36,1.0
g7,-60,36,1.0
g7,-60,36,1.0
g7,-60,36,1.0
g7,-60,36,1.0
g7,-60,36,1.0
g7,-60,36,1.0
g7,-60,36,1.0
g7,-60,36,1.0
g7,-60,36,1.0
g7,-60,36,1.0
g7,-60,36,1.0
g7,-60,36,1.0
g7,-60,36,1.0
g7,-60,36,1.0
g7,-60,36,1.0
g7,-60,36,1.0
g7,-60,36,1.0
g7,-60,36,1.0
g7,-60,36,1.0
g7,-60,36,1.0
g7,-60,36,1.0
g7,-60,36,1.0
g7,-60,36,1.0
g7,-60,36,1.0
g7,-60,36,1.0
g7,-60,36,1.0
g7,-60,36,1.0
g7,-60,36,1.0
g7,-60,36,1.0
g7,-60,36,1.0
g7,-60,36,1.0
g7,-60,36,1.0
g7,-60,36,1.0
g7,-60,36,1.0
g7,-60,36,1.0
g7,-60,36,1.0
g7,-60,36,1.0
g7,-60,36,1.0
g7,-60,36,1.0
g7,-60,36,1.0
g7,-60,36,1.0
g7,-60,36,1.0
g7,-60,36,1.0
g7,-60,36,1.0
g7,-60,36,1.0
g7,-60,36,1.0
g7,-60,36,1.0
g7,-60,36,1.0
g7,-60,36,1.0
g7,-60,36,1.0
g7,-60,36,1.0
g7,-60,36,1.0
g7,-60,36,1.0
g7,-60,36,1.0
g7,-60,36,1.0
g7,-60,36,1.0
g7,-60,36,1.0
g7,-60,36,1.0
g7,-60,36,1.0
g7,-60,38,1.0
g7,-60,38,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
g7,-60,39,1.0
