dist,Angle,Serving_SSB_Idx,weight
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
g1,-60,4,1.0
